,모델명,날짜,별점,제목,본문
316,LG 80 cm (32 inches) HD Ready Smart LED TV 32LQ576BPSA (Ceramic Black),Reviewed in India on 20 January 2024,3.0 out of 5 stars,Not IPS panel,Whoever trying or thinking for buying this tv..please remember this is not a IPS panel TV its VPA panel..so please think twice. So view angle will be little white and front angle will be good..but in IPS panel all side view will be superb and same as front angle.
317,LG 80 cm (32 inches) HD Ready Smart LED TV 32LQ576BPSA (Ceramic Black),Reviewed in India on 4 March 2024,3.0 out of 5 stars,Okay okay,"Web OS is not real good, I have fire stick and that's real gem. Lot of games, apps and ease of use. Web OS have only a few things and lack a lot of useful things.
Other things are okay in TV."
318,LG 80 cm (32 inches) HD Ready Smart LED TV 32LQ576BPSA (Ceramic Black),Reviewed in India on 22 October 2023,3.0 out of 5 stars,The LG technician called after 3 days of delivery,"The TV is good and delivered in perfect condition.
But the worst part is that, the LG technician called us after 3 days of delivery. When we asked technician why did it take 3 days to contact us, he said that Amazon notified them just now. Either Amazon notified LG very late or LG technician called us very late.
We told the technician that we have already set up the TV there is no need for you to come over."
319,LG 80 cm (32 inches) HD Ready Smart LED TV 32LQ576BPSA (Ceramic Black),Reviewed in India on 5 March 2024,3.0 out of 5 stars,Average,Quality & sound just ok. Not looks like premium
320,LG 80 cm (32 inches) HD Ready Smart LED TV 32LQ576BPSA (Ceramic Black),Reviewed in India on 18 March 2024,3.0 out of 5 stars,Good,Like
321,LG 80 cm (32 inches) HD Ready Smart LED TV 32LQ576BPSA (Ceramic Black),Reviewed in India on 16 March 2024,3.0 out of 5 stars,NEED TO REDUCE RATE,okay good but need to reduce product price
322,LG 80 cm (32 inches) HD Ready Smart LED TV 32LQ576BPSA (Ceramic Black),Reviewed in India on 19 July 2024,1.0 out of 5 stars,Worst Picture Quality,Don't buy this product just for the sake of low price when compared to other similar products. Picture quality is the worst. It's been a month-old TV but looks like a five or more years-old TV. Don't buy and suffer like me. I would recommend please spend some additional amount and go for Sony/Samsung
323,LG 80 cm (32 inches) HD Ready Smart LED TV 32LQ576BPSA (Ceramic Black),Reviewed in India on 8 February 2024,3.0 out of 5 stars,Star rating,It's only 1 star. But they didn't mention the product details
324,LG 80 cm (32 inches) HD Ready Smart LED TV 32LQ576BPSA (Ceramic Black),Reviewed in India on 8 June 2024,2.0 out of 5 stars,No blueetooth,Thought as it is a smart tv it will also support Bluetooth but it doesn't.
325,LG 80 cm (32 inches) HD Ready Smart LED TV 32LQ576BPSA (Ceramic Black),Reviewed in India on 31 December 2023,3.0 out of 5 stars,Like others smart TV,This TV is very nice but colour are not very good good but good 😊
326,LG 80 cm (32 inches) HD Ready Smart LED TV 32LQ576BPSA (Ceramic Black),Reviewed in India on 29 January 2024,3.0 out of 5 stars,Qulatiy,Picture and sound quality good
327,LG 80 cm (32 inches) HD Ready Smart LED TV 32LQ576BPSA (Ceramic Black),Reviewed in India on 31 January 2024,3.0 out of 5 stars,Good,Display is good...
328,LG 80 cm (32 inches) HD Ready Smart LED TV 32LQ576BPSA (Ceramic Black),Reviewed in India on 21 August 2024,1.0 out of 5 stars,टेलीविजन में स्क्रेच पड़े हुए हैं,"टेलीविजन पर स्क्रेच पड़े हुए हैं
डिलिवरी एसोसिएट ने न फोन किया और न आने की जानकारी दी और टेलीविजन(ओपन घ बोकस) भी नहीं किया, और टेक्निशियन आयेंगे तो खोलकर दिखा देंगे"
329,LG 80 cm (32 inches) HD Ready Smart LED TV 32LQ576BPSA (Ceramic Black),Reviewed in India on 18 January 2024,3.0 out of 5 stars,❗️,Did not get the remote control
330,LG 80 cm (32 inches) HD Ready Smart LED TV 32LQ576BPSA (Ceramic Black),Reviewed in India on 11 December 2023,3.0 out of 5 stars,Facing auto shutdown issue,"TV is getting auto switchoff, we need replacement for the same.
this is happing every 5 min."
331,LG 80 cm (32 inches) HD Ready Smart LED TV 32LQ576BPSA (Ceramic Black),Reviewed in India on 20 November 2023,3.0 out of 5 stars,"Good service but, poor display, poor sound (compared to other brands)","Service is excellent, they charge more money for service but honestly, you can go for other TVs for quality panel and sound."
332,LG 80 cm (32 inches) HD Ready Smart LED TV 32LQ576BPSA (Ceramic Black),Reviewed in India on 12 January 2024,3.0 out of 5 stars,Avg experience,"Compare to other LG tvs, the screen quality is avg"
333,LG 80 cm (32 inches) HD Ready Smart LED TV 32LQ576BPSA (Ceramic Black),Reviewed in India on 25 October 2023,3.0 out of 5 stars,TV is good but panel quality has to improve,"Connectivity is excellent, appearance is good but panel quality has to improve,performance is excellent, color is good, smartness is good,value for money means has give more options like ips panel and android."
334,LG 80 cm (32 inches) HD Ready Smart LED TV 32LQ576BPSA (Ceramic Black),Reviewed in India on 16 August 2024,1.0 out of 5 stars,Please don't purchase,This is not smart tv
335,LG 80 cm (32 inches) HD Ready Smart LED TV 32LQ576BPSA (Ceramic Black),Reviewed in India on 4 December 2023,3.0 out of 5 stars,Wall Mounting Issue,Tv is pretty thick and if you are mounting on wall it'll be away from wall by almost 15 cm
336,LG 80 cm (32 inches) HD Ready Smart LED TV 32LQ576BPSA (Ceramic Black),Reviewed in India on 5 August 2024,1.0 out of 5 stars,Don't buy this TV.,"After one year of use, my TV stopped working. Do not buy this TV."
337,LG 80 cm (32 inches) HD Ready Smart LED TV 32LQ576BPSA (Ceramic Black),Reviewed in India on 30 December 2023,3.0 out of 5 stars,"Thick bezel,","Thick bezel, looks outdated, colour so so"
338,LG 80 cm (32 inches) HD Ready Smart LED TV 32LQ576BPSA (Ceramic Black),Reviewed in India on 22 August 2024,1.0 out of 5 stars,Worst,Bekar
339,LG 80 cm (32 inches) HD Ready Smart LED TV 32LQ576BPSA (Ceramic Black),Reviewed in India on 1 August 2024,1.0 out of 5 stars,Waste of money,No satisfied with the performance and sound quality
340,LG 80 cm (32 inches) HD Ready Smart LED TV 32LQ576BPSA (Ceramic Black),Reviewed in India on 25 February 2024,2.0 out of 5 stars,LED fluid lead to screen damage.,"Dear All,
I have puchased this TV in the month of Oct ‘24 and now 5th month I have started getting this screen damage from yesterday night. It was working fine till yesterday morning. Don’t know what is the issue."
341,LG 80 cm (32 inches) HD Ready Smart LED TV 32LQ576BPSA (Ceramic Black),Reviewed in India on 21 July 2024,1.0 out of 5 stars,Karimnagar service station worst service,Tv delivered 4 days before but no update from Karimnagar LG service centre for installation. It’s worst service from LG.
342,LG 80 cm (32 inches) HD Ready Smart LED TV 32LQ576BPSA (Ceramic Black),Reviewed in India on 2 May 2024,2.0 out of 5 stars,Shahrukh Pathan,voice search feature should be in builted.
343,LG 80 cm (32 inches) HD Ready Smart LED TV 32LQ576BPSA (Ceramic Black),Reviewed in India on 8 December 2023,3.0 out of 5 stars,Nice,Good product
344,LG 80 cm (32 inches) HD Ready Smart LED TV 32LQ576BPSA (Ceramic Black),Reviewed in India on 5 November 2023,3.0 out of 5 stars,while playing video line coming in screen,"Play Video
While playing videos line coming in screen. I took for my PC
Facing problem in screen while playing videos."
345,LG 80 cm (32 inches) HD Ready Smart LED TV 32LQ576BPSA (Ceramic Black),Reviewed in India on 7 August 2023,3.0 out of 5 stars,"Good quality, but not very smart","There is no Google tv support and no voice support in the remote it is still in old version but it is value for money, you can get better TV's at same price like acer, OnePlus etc."
346,LG 80 cm (32 inches) HD Ready Smart LED TV 32LQ576BPSA (Ceramic Black),Reviewed in India on 2 July 2024,1.0 out of 5 stars,LG demo services are not good,We are not satisfied by LG demo services...very late and they are not technically qualified...very arrogant attitude....no technical knowledge...just can not able to connect DVD and Speakers to the Tv which is also part of them
347,LG 80 cm (32 inches) HD Ready Smart LED TV 32LQ576BPSA (Ceramic Black),Reviewed in India on 22 October 2023,3.0 out of 5 stars,Inches differ from the mentioned,Received item has 28 inches but I ordered 32 inches TV. Not satisfied with the product 😕
348,LG 80 cm (32 inches) HD Ready Smart LED TV 32LQ576BPSA (Ceramic Black),Reviewed in India on 11 November 2023,3.0 out of 5 stars,Picture quality average...,
349,LG 80 cm (32 inches) HD Ready Smart LED TV 32LQ576BPSA (Ceramic Black),Reviewed in India on 18 November 2023,3.0 out of 5 stars,Nice,Amezing lcd
350,LG 80 cm (32 inches) HD Ready Smart LED TV 32LQ576BPSA (Ceramic Black),Reviewed in India on 14 November 2023,3.0 out of 5 stars,Average,Average
351,LG 80 cm (32 inches) HD Ready Smart LED TV 32LQ576BPSA (Ceramic Black),Reviewed in India on 21 January 2024,2.0 out of 5 stars,Very bad experience,"Play Video
Within 6 months while product is unde warranty, remote's key is coming out from the panel. Contacted to customer care, he replied you have to purchase the same with ₹378. We will not exchange or rectify."
352,LG 80 cm (32 inches) HD Ready Smart LED TV 32LQ576BPSA (Ceramic Black),Reviewed in India on 2 December 2023,2.0 out of 5 stars,Lg 32 inch,"This product... future s is very good.... brand wise good prosser....but still.... display quality is poor...1080p,4k quality not clear looks picture... colour is not soo good..hdr perfomance not good...but my opinion go to other brand samsung is better option.. samsung display is good colour s ...hdr performance good...true review please aviod this product....meanly tv prayority form picture quality... please live this lg tv."
353,LG 80 cm (32 inches) HD Ready Smart LED TV 32LQ576BPSA (Ceramic Black),Reviewed in India on 14 July 2024,1.0 out of 5 stars,Remote control missing,No remote control supplied with TV
354,LG 80 cm (32 inches) HD Ready Smart LED TV 32LQ576BPSA (Ceramic Black),Reviewed in India on 18 May 2024,1.0 out of 5 stars,Improper service by LG,"TV REACHED ON TUESDAY & it’s Saturday now TV IS STILL NOT OPENED AND NO LG TECHNICIAN CAME FOR INSTALLATION . Out of multiple follow-up done I don’t see any progress. Tv doesn’t have Bluetooth . And WiFi pwd is not saved if power goes down suddenly. Feeling bad I wasted my money on this and there is no return option as well in Amazon for this , it’s redirected to product support only 😒"
355,LG 80 cm (32 inches) HD Ready Smart LED TV 32LQ576BPSA (Ceramic Black),Reviewed in India on 1 April 2024,2.0 out of 5 stars,"Picture quality not good,Lg service is also not satisfactory.","Picture quality not good,Lg service is also not satisfactory."
356,LG 80 cm (32 inches) HD Ready Smart LED TV 32LQ576BPSA (Ceramic Black),Reviewed in India on 3 August 2024,1.0 out of 5 stars,Packing’s,Worst packinging of lg smart tv box
357,LG 80 cm (32 inches) HD Ready Smart LED TV 32LQ576BPSA (Ceramic Black),Reviewed in India on 27 October 2023,3.0 out of 5 stars,This is 2022 model not 2023 as per Amazon website,
358,LG 80 cm (32 inches) HD Ready Smart LED TV 32LQ576BPSA (Ceramic Black),Reviewed in India on 26 October 2023,3.0 out of 5 stars,Wall mount was bad,Avarage & Good
359,LG 80 cm (32 inches) HD Ready Smart LED TV 32LQ576BPSA (Ceramic Black),Reviewed in India on 27 July 2024,1.0 out of 5 stars,Not purchase poor quality,Poor quality 😔
360,LG 80 cm (32 inches) HD Ready Smart LED TV 32LQ576BPSA (Ceramic Black),Reviewed in India on 9 September 2023,3.0 out of 5 stars,Brightness and sound quality,"Play Video
Brightness is less compare sony led tv sound quality just ok tiny sound"
361,LG 80 cm (32 inches) HD Ready Smart LED TV 32LQ576BPSA (Ceramic Black),Reviewed in India on 12 August 2024,1.0 out of 5 stars,Since newly purchased t.v sink screen some time but these two days more sink screen...,"Play Video
Replace product with new one..."
362,LG 80 cm (32 inches) HD Ready Smart LED TV 32LQ576BPSA (Ceramic Black),Reviewed in India on 3 November 2023,3.0 out of 5 stars,Nice but poor sound,Sound quality poor
363,LG 80 cm (32 inches) HD Ready Smart LED TV 32LQ576BPSA (Ceramic Black),Reviewed in India on 29 June 2024,1.0 out of 5 stars,Cheapest Video & Picture Quality,Most cheapest video picture quality of LG Tv
364,LG 80 cm (32 inches) HD Ready Smart LED TV 32LQ576BPSA (Ceramic Black),Reviewed in India on 21 October 2023,3.0 out of 5 stars,Good,
365,LG 80 cm (32 inches) HD Ready Smart LED TV 32LQ576BPSA (Ceramic Black),Reviewed in India on 4 July 2024,1.0 out of 5 stars,Broken TV delivered,LG TV delivered broken as LG Technician was installed the TV on the wall and try to On the TV that time we found its broken.. very disappointed
366,LG 80 cm (32 inches) HD Ready Smart LED TV 32LQ576BPSA (Ceramic Black),Reviewed in India on 15 June 2024,1.0 out of 5 stars,Faltu tv or Amazon service,Third class tv.or Amazon service.muje tv return karna h par ho nhi pa rha h.na koi coustomer care no h jaha baat karo
367,LG 80 cm (32 inches) HD Ready Smart LED TV 32LQ576BPSA (Ceramic Black),Reviewed in India on 21 February 2024,2.0 out of 5 stars,Very bad,Very bad experience to me broken TV come
368,LG 80 cm (32 inches) HD Ready Smart LED TV 32LQ576BPSA (Ceramic Black),Reviewed in India on 20 July 2024,1.0 out of 5 stars,Worst,I purchased before 8 months In display black dot
369,LG 80 cm (32 inches) HD Ready Smart LED TV 32LQ576BPSA (Ceramic Black),Reviewed in India on 31 August 2023,3.0 out of 5 stars,Clarity,It's good TV with wifi connected to mobile
370,LG 80 cm (32 inches) HD Ready Smart LED TV 32LQ576BPSA (Ceramic Black),Reviewed in India on 25 August 2021,1.0 out of 5 stars,Disappointed by LG,"I had bought a TV on 06/08/21 with serial no: B08DPLCM6T. It worked properly for two weeks and then the video was not available from the AV port. The technician had told that the video port had burned off due to a voltage surge from the set top box. He had showed the burned portion also. As per the warranty I understand that LG doesn't cover issues due to voltage surges. But then, I have been using televisions of other brands like Sony & Panasonic for long and no such issues had occurred while using the same set top box. But just after buying an LG TV, if it burns off then I have to wonder about the quality of the circuit board used by LG. It is possible that the issue occurred due to a faulty board and not a voltage surge. It is unfortunate LG doesn't cover such issues even during the warranty period even though it's only a 2 week old product. It has been a disappointing experience for me with LG and would not ever be buying or recommending an LG product again."
371,LG 80 cm (32 inches) HD Ready Smart LED TV 32LQ576BPSA (Ceramic Black),Reviewed in India on 13 June 2024,1.0 out of 5 stars,Pathetic experience with Amazon and LG,Extremely pathetic experience with Amazon and LG. After the product is delivered LG is not interested to send any engineer to install the product. Very bad customer service.
372,LG 80 cm (32 inches) HD Ready Smart LED TV 32LQ576BPSA (Ceramic Black),Reviewed in India on 15 April 2023,3.0 out of 5 stars,It is not good for power saving. It's only 1star power rating.,Not good for power saving. It's very low rated tv. It's price for this power rating is very high. This not fair for amazon prime member. It's just cheating.
373,LG 80 cm (32 inches) HD Ready Smart LED TV 32LQ576BPSA (Ceramic Black),Reviewed in India on 13 September 2023,3.0 out of 5 stars,Very good,"Play Video
Very good"
374,LG 80 cm (32 inches) HD Ready Smart LED TV 32LQ576BPSA (Ceramic Black),Reviewed in India on 12 June 2024,1.0 out of 5 stars,"Farji, thirdclass","Third class ,farji ,brand k chakkar m Mt pdna ,akdm bekar h"
375,LG 80 cm (32 inches) HD Ready Smart LED TV 32LQ576BPSA (Ceramic Black),Reviewed in India on 12 September 2023,3.0 out of 5 stars,BEST LG TV BUT YOUTUBE NOT OPEN SOME TIME,Best Performance Quality Hd
376,LG 80 cm (32 inches) HD Ready Smart LED TV 32LQ576BPSA (Ceramic Black),Reviewed in India on 23 May 2024,1.0 out of 5 stars,Faulty TV delivered,Bad experience by this TV seller. LG brand and its TV is ok but I think seller did something wrong with this TV before selling it. Serious trust issue not on LG but on Seller.
377,LG 80 cm (32 inches) HD Ready Smart LED TV 32LQ576BPSA (Ceramic Black),Reviewed in India on 10 July 2024,1.0 out of 5 stars,Na,Na
378,LG 80 cm (32 inches) HD Ready Smart LED TV 32LQ576BPSA (Ceramic Black),Reviewed in India on 8 August 2023,3.0 out of 5 stars,Good 👍,Good one with good price
379,LG 80 cm (32 inches) HD Ready Smart LED TV 32LQ576BPSA (Ceramic Black),Reviewed in India on 19 June 2024,1.0 out of 5 stars,Waste of money,More power consumption and not installing apps
380,LG 80 cm (32 inches) HD Ready Smart LED TV 32LQ576BPSA (Ceramic Black),Reviewed in India on 21 September 2023,3.0 out of 5 stars,Tv,Ok
381,LG 80 cm (32 inches) HD Ready Smart LED TV 32LQ576BPSA (Ceramic Black),Reviewed in India on 7 April 2024,1.0 out of 5 stars,Delivery experience is very poor,"There is no doubt that the product is good if you are a technical person. Faced many problems after ordering this TV. And the result was that we had to suffer for the delivery. There was a mistake in the delivery mobile number when ordered in place
And also not received free installation benefits from both brand LG and Amazon"
382,LG 80 cm (32 inches) HD Ready Smart LED TV 32LQ576BPSA (Ceramic Black),Reviewed in India on 8 October 2023,2.0 out of 5 stars,Screen failed with in 3 monts,Actually LG is good produc but I don't know why screen has failed with in 3 monts. I have waranty so they repaired at free of cost . Now it is working fine.
383,LG 80 cm (32 inches) HD Ready Smart LED TV 32LQ576BPSA (Ceramic Black),Reviewed in India on 27 June 2024,1.0 out of 5 stars,"Video quality very poor, remote operating very poor","Play Video
Video quality is not good please no one buy"
384,LG 80 cm (32 inches) HD Ready Smart LED TV 32LQ576BPSA (Ceramic Black),Reviewed in India on 4 June 2024,1.0 out of 5 stars,Display issue,"After the 10 days display changed into some black dots.
And everyday it was spreading.."
385,LG 80 cm (32 inches) HD Ready Smart LED TV 32LQ576BPSA (Ceramic Black),Reviewed in India on 27 April 2024,1.0 out of 5 stars,Defective product,"Don't buy
It worked for few months and from 13th month problem appeared.
Initially lines on display, had a quesscare third party additional warranty and get it rectified.
Now again tv is not working.
Some fluid coming out of power button."
386,LG 80 cm (32 inches) HD Ready Smart LED TV 32LQ576BPSA (Ceramic Black),Reviewed in India on 7 May 2024,1.0 out of 5 stars,Worst Product,"Really disappointed, one of the very worst product from LG. I’m thinking Chinese brand TV display better than this LG TV. Never expected this product from LG not worth for even 1 star rating."
387,LG 80 cm (32 inches) HD Ready Smart LED TV 32LQ576BPSA (Ceramic Black),Reviewed in India on 29 May 2023,2.0 out of 5 stars,Performance is not satisfactory,"Video quality is not as mentioned, it's mentioned as vivid quality but not giving even as normal quality, and if u use tv continuously for atleast 30 mins it's blinking and coming back to normal position. And when we start the tv the colour is also into pink shade. And after sometime it's coming to normal position if we re start the tv, this is the problem we are facing."
388,LG 80 cm (32 inches) HD Ready Smart LED TV 32LQ576BPSA (Ceramic Black),Reviewed in India on 14 May 2023,3.0 out of 5 stars,Average,Sound quality is average and picture quality is also average
389,LG 80 cm (32 inches) HD Ready Smart LED TV 32LQ576BPSA (Ceramic Black),Reviewed in India on 22 April 2024,1.0 out of 5 stars,Bad Quality,Led Processor is very slow and starts getting patches on screen in 1 year of use. It takes a lot of time to load apps. Voice is not so clear. Very bad quality product.
390,LG 80 cm (32 inches) HD Ready Smart LED TV 32LQ576BPSA (Ceramic Black),Reviewed in India on 15 March 2023,3.0 out of 5 stars,Average performance,So so item and average performance. No wall mounting supplied with the item. Extra 500 charged by the installation team for wall mounting.
391,LG 80 cm (32 inches) HD Ready Smart LED TV 32LQ576BPSA (Ceramic Black),Reviewed in India on 22 January 2023,3.0 out of 5 stars,BEE rated 1 star TV,"It’s a single star BEE Energy rated TV which is not mentioned by amazon . However, it serves the purpose of daily medium usage for my parents."
392,LG 80 cm (32 inches) HD Ready Smart LED TV 32LQ576BPSA (Ceramic Black),Reviewed in India on 10 December 2023,2.0 out of 5 stars,Average,There is no space to fit pendrive. Iam totally disappointed
393,LG 80 cm (32 inches) HD Ready Smart LED TV 32LQ576BPSA (Ceramic Black),Reviewed in India on 24 August 2023,2.0 out of 5 stars,Think before purchasing,This product is 2020 lot and I have purchased in March 2022. All of sudden yesterday 23rd August 2023 this line problem arrived . We were enjoying chandrayaan Landing and this lines on screen. Lg service centre visiting charges Rs 1000 🤔🤔
394,LG 80 cm (32 inches) HD Ready Smart LED TV 32LQ576BPSA (Ceramic Black),Reviewed in India on 14 June 2024,1.0 out of 5 stars,Sound,"Play Video
Daily minimum 5 or 6 times stoping sound"
395,LG 80 cm (32 inches) HD Ready Smart LED TV 32LQ576BPSA (Ceramic Black),Reviewed in India on 27 February 2024,1.0 out of 5 stars,Poor Item,"TV video is not coming, return pick up delayed. But delivery agent was telling lie, customer is not ready. They didn't come to my house. Why they are blaming me or it is a way to accept me the TV with defect. LG people also not ready to repair the TV, since it is in their warranty."
396,LG 80 cm (32 inches) HD Ready Smart LED TV 32LQ576BPSA (Ceramic Black),Reviewed in India on 16 June 2023,3.0 out of 5 stars,OK,OK
397,LG 80 cm (32 inches) HD Ready Smart LED TV 32LQ576BPSA (Ceramic Black),Reviewed in India on 24 October 2023,1.0 out of 5 stars,"Good product , punctual deliver , but no installation/ demo provided by LG.",Satisfied with the product. Delivery was as per schedule. But after sales service for Demo / installation was pathetic. It was mentioned that with- in 24 Hrs of delivery customer would receive intimation for installation and demo. That never happened. SMS from Amazon came after 72 hours after delivery. I raised a servie request my self with LG customer care for installation and that also did not happen for over 48 hours. Eventually in the end had to arrange for installation at my own cost . Terrible post delivery expirience with LG. It is a basic 32 inch Smart HD ready unit. works as expected.
398,LG 80 cm (32 inches) HD Ready Smart LED TV 32LQ576BPSA (Ceramic Black),Reviewed in India on 17 March 2023,2.0 out of 5 stars,Worth for price,On this price your getting good product picture quality sound multiple function hd......but one things is there the technician which needs to come within 48hr he didn't come yet however we tried to contact with him but started to giving excuses....i have one request who people are saying in bangalore dont expect this technician will come on time...i will never appreciate for the kiran technician.....if they polite with the customer definitely i willl give good ratings but jest one mistake i can't give good ratings
399,LG 80 cm (32 inches) HD Ready Smart LED TV 32LQ576BPSA (Ceramic Black),Reviewed in India on 16 December 2023,2.0 out of 5 stars,To bad,To bad
400,LG 139 cm (55 inches) 4K Ultra HD Smart LED TV 55UR7500PSC (Dark Iron Gray),Reviewed in India on 26 October 2023,1.0 out of 5 stars,Received Defective Product,"For those who are reading this.. this not entirely a product review. Let me guide you through the entire process of my agony.
I ordered this item on 8/10/23 and it cost me 23,262.05/- (after offers on no cost EMI). The item was delivered on 13/10/2023. The delivery was prompt and they informed us that technician from LG will call us for installation. Since no one called, so I called back to LG from the contact info provided in Amazon app and booked an installation request on 14/10/2023. The personnel from LG came on 15/10/2023 and when he checked the item (by simply connecting it to power), it was found to be defective because the screen was not switching ON. I tried to return/replace the item on 15/10/23 itself. But only available option was to book a technician. So, I booked a technician (for 17/10/2023, because that was the nearest date available) and I also called customer care to request replacement and they advised me to wait for technician to check. Technician completed the service by evening of 17th (after again reminding through customer care). After 48 hours (which is the standard waiting period for some reason!!!) there was no response from Amazon regarding return/replace. So, I contacted customer care on 19/10/2023. The customer agent concurred that the technician also agrees that the item is defective and said that only return was possible for that item and that he has initiated the return and that within 48 hours someone will come for pick up. But nothing of the sort was updated in the App. I again waited for 48 hours but no one called or came. Then I again contacted customer care on 21/10/2023, and the agent told me that no return has been initiated. At this point I was fed up. They have blatantly lied to a customer on a recorded call. Then this new agent initiated a return which was scheduled for 24/10/2023. The pick up could not happen on 24th because we were not available at home and I again had to call customer care. The agent rescheduled my pick up to 27/10/2023. Then on 25/10/2023 I received a call from pick up agent that he will arrive in 30mins for pick up of TV. He arrived, checked everything and went off with the item. It should be noted that completion of pick-up was not updated in the app which I specifically asked him to update. I raised the same issue with customer care and they told it will be updated within 24 hrs. Then at 3:00pm in the evening the pick-up guy called me stating that the serial no. was not matching and the he cannot complete return. He had checked everything before pick up and now they are saying that details are not matching. I was naturally furious. I denied to accept it back, but he (pick up guy) started threatening that if I don't take it back I will not get refund. Then today morning (26/10/2023) he re-delivered the item to me and took photos (the usual procedure) and went. He was also not clearly explaining why the return failed. All he is saying is that he is acting as per his supervisors orders. Then, I again called customer care informing them of this issue. The agent cross-checked the serial no. and said that all details are matching and that it is a mistake on the part of delivery agent. Now the pick up is scheduled for tomorrow (27/10/2023). Only God knows how many hurdles I have to cross to get my genuine refund. My only advice to whoever is reading this is, Amazon is a very good platform to purchase products as long as they are working. If you end up receiving a defective piece, you will definitely lose your peace of mind because of their conduct."
401,LG 139 cm (55 inches) 4K Ultra HD Smart LED TV 55UR7500PSC (Dark Iron Gray),Reviewed in India on 25 July 2024,3.0 out of 5 stars,"Just a decent TV , nothing amazing !","I got a 55 inch TV thinking I will recieve an IPS panel, but alas I got a VA panel .. and even with a VA panel, the BLACKS aren't that good . The upscaling works very avg , the SD channel aren't even worth watching.
Connectivity is good with wifi has ample ports
The webos feels laggy even in 2024 ..not what I expect from an LG tv .so absolutely not easy to use.
Got it in a sale ,so I guess you can consider it a value for money . But without magic remote , the experience ruins it . Had to purchase a magic remote. So consider 2k more. The LG support is excellent at least in bangalore .

I use it in the bedroom . And at least for the the sound is amazing even for a 20 watt speaker. I was genuinely surprised in a good way . So all in all of you are getting this 55 inch TV under 40k.. you can consider it . Else I suggest getting another tv from a different brand . Or you can wait it out for LG UT80 series as they are significantly better having tested it myself in an offline store ."
402,LG 139 cm (55 inches) 4K Ultra HD Smart LED TV 55UR7500PSC (Dark Iron Gray),Reviewed in India on 26 July 2024,3.0 out of 5 stars,TV quality is good and installation experience is worst,"The TV quality is excellent, but the installation took 5 days. All the technicians (scheduled from Amazon) were giving different excuses and not completing the job. Finally, I called LG customer care directly in the morning, and they sent someone to install it by the evening. The fixed wall mount was free and was brought by the LG technician."
403,LG 139 cm (55 inches) 4K Ultra HD Smart LED TV 55UR7500PSC (Dark Iron Gray),Reviewed in India on 11 August 2024,3.0 out of 5 stars,Tv is good. Delivery was good.,"Play Video
I think the tv is all good for entertainment.But I deducted two star for the following:
1) RECIEVED VA PANEL
2) When I tried checking panel for bleeding using white screen… it is not uniformly white(Don’t know if that’s an issue or not) but no case of screen bleeding..luckily.

**Lg team was superb and the WALL MOUNT is free provided by LG itself."
404,LG 139 cm (55 inches) 4K Ultra HD Smart LED TV 55UR7500PSC (Dark Iron Gray),Reviewed in India on 23 July 2024,3.0 out of 5 stars,Slow Response,"While the TV was at its best, but its old model and the OS was slow to respond. And the big thing about this is magical remote, very convenient to use... but the response time of the remote to tv is very slow compared to other tvs like reconnect etc. LG should look into this matter. Rest assured it was good one for home."
405,LG 139 cm (55 inches) 4K Ultra HD Smart LED TV 55UR7500PSC (Dark Iron Gray),Reviewed in India on 23 August 2024,3.0 out of 5 stars,Very Good picture quality but laggy interface,"Very Good picture quality but laggy interface, not smooth as the other LG TVs"
406,LG 139 cm (55 inches) 4K Ultra HD Smart LED TV 55UR7500PSC (Dark Iron Gray),Reviewed in India on 7 August 2024,3.0 out of 5 stars,1 year review,"Picture quality is good.
But the operating system that is webos is very sluggish at times.
No magic remote is big disappointment.
Sound is ok and clear"
407,LG 139 cm (55 inches) 4K Ultra HD Smart LED TV 55UR7500PSC (Dark Iron Gray),Reviewed in India on 7 August 2024,3.0 out of 5 stars,Response is slow,"Web browser, and accessing cards on home is too slow sometimes it takes more than 5seconds.

Tv resolutions is good. Happy but still performance not satisfied."
408,LG 139 cm (55 inches) 4K Ultra HD Smart LED TV 55UR7500PSC (Dark Iron Gray),Reviewed in India on 16 August 2024,3.0 out of 5 stars,Magic remote,Magic remote is not included the box
409,LG 139 cm (55 inches) 4K Ultra HD Smart LED TV 55UR7500PSC (Dark Iron Gray),Reviewed in India on 24 July 2024,3.0 out of 5 stars,Delivery person asking money,"Hello,
Today I bought my lg tv from Amazon. I happy with this. But the thing is delivery boy demanding me to give tip of 200 rupees. I have given 150 rupees. I feel very bad for this."
410,LG 139 cm (55 inches) 4K Ultra HD Smart LED TV 55UR7500PSC (Dark Iron Gray),Reviewed in India on 23 August 2024,3.0 out of 5 stars,This product was not working,Play Video
