,모델명,날짜,별점,제목,본문
123,"LG 185 L 5 Star Inverter Direct-Cool Single Door Refrigerator (GL-D201ABEU, Blue Euphoria, Base stand with drawer)",Reviewed in India on 24 August 2023,3.0 out of 5 stars,Sound Problem & Freezer,"I Bought it on 3 month before I have noise issue in it and i call service centre he said it was normal problem
on touching between compressor and plastic. you only adjust that and after 2 weeks it was get same noise. i only adjusting it. I don't like freezer it was more cheaper quality and it was bending.so i asked him about it he said from this model we provide this kind of refrigerator. so you need to defrost every 3 days. it was not an issue you can go for it"
124,"LG 185 L 5 Star Inverter Direct-Cool Single Door Refrigerator (GL-D201ABEU, Blue Euphoria, Base stand with drawer)",Reviewed in India on 11 June 2024,2.0 out of 5 stars,घटिया डिलीवरी,मेने lg फ्रिज मगाया रोड पर ही डिलीवर देकर चले गए रूम पर नहीं पहुंचाया
125,"LG 185 L 5 Star Inverter Direct-Cool Single Door Refrigerator (GL-D201ABEU, Blue Euphoria, Base stand with drawer)",Reviewed in India on 20 February 2024,2.0 out of 5 stars,Noise issue,"Just after a month of use, it's started making strange noises, especially drilling noise. After being running continuously in any given day it makes that noise. I was instructed to press defrost button once in every 3 days. But, I'm pressing that button twice in a day, only then the noise stops. It was mentioned in the description it's a noise free machine. But it makes more noise and weird sounds as well. Highly disappointed with LG. Never thought this would turn out to be greater dissatisfied product. Shame on you LG.."
126,"LG 185 L 5 Star Inverter Direct-Cool Single Door Refrigerator (GL-D201ABEU, Blue Euphoria, Base stand with drawer)",Reviewed in India on 23 August 2024,1.0 out of 5 stars,Worst,"Its been just 2 months i purchased fridge
But now water leakage and its make high sound"
127,"LG 185 L 5 Star Inverter Direct-Cool Single Door Refrigerator (GL-D201ABEU, Blue Euphoria, Base stand with drawer)",Reviewed in India on 25 May 2024,2.0 out of 5 stars,Average,Colour is as much as good looks pretty lg finishing is also elegant.
128,"LG 185 L 5 Star Inverter Direct-Cool Single Door Refrigerator (GL-D201ABEU, Blue Euphoria, Base stand with drawer)",Reviewed in India on 24 November 2023,3.0 out of 5 stars,Little froster,"Even if it’s 5 star I would like to give 3 star rating😊
It’s advised to small family or bachelor because it’s very tiny in size and in reasonable price looks not so awesome but ok and at last budget friendly and value for money"
129,"LG 185 L 5 Star Inverter Direct-Cool Single Door Refrigerator (GL-D201ABEU, Blue Euphoria, Base stand with drawer)",Reviewed in India on 15 August 2024,1.0 out of 5 stars,Defective product,Product stopped working within 2 months and no proper support from team.
130,"LG 185 L 5 Star Inverter Direct-Cool Single Door Refrigerator (GL-D201ABEU, Blue Euphoria, Base stand with drawer)",Reviewed in India on 11 April 2024,2.0 out of 5 stars,Product is very bad,"Play Video
After product delivered noone reached for installation till and huge sound is coming abd ice frostening very faster and we trying to return but the notification is coming that product is not availabale."
131,"LG 185 L 5 Star Inverter Direct-Cool Single Door Refrigerator (GL-D201ABEU, Blue Euphoria, Base stand with drawer)",Reviewed in India on 5 May 2024,2.0 out of 5 stars,The light of the fridge is not working,The light of the fridge is not working
132,"LG 185 L 5 Star Inverter Direct-Cool Single Door Refrigerator (GL-D201ABEU, Blue Euphoria, Base stand with drawer)",Reviewed in India on 13 August 2024,1.0 out of 5 stars,Extra charge,Extra charge taken
133,"LG 185 L 5 Star Inverter Direct-Cool Single Door Refrigerator (GL-D201ABEU, Blue Euphoria, Base stand with drawer)",Reviewed in India on 3 July 2023,3.0 out of 5 stars,Average in terms of space and power consumption,"It’s a decent product in this price range, However the freezer size is comparatively smaller and it makes noticeable noise which is disturbing at night, also we couldn’t find see any major difference in power consumption in this 5 star fridge when compared to the old fridge we had with 0 star rating.

Overall 6/10"
134,"LG 185 L 5 Star Inverter Direct-Cool Single Door Refrigerator (GL-D201ABEU, Blue Euphoria, Base stand with drawer)",Reviewed in India on 16 November 2023,3.0 out of 5 stars,I recived damage product,I recived and damage product after i raise replacment request its get done i dont use product
135,"LG 185 L 5 Star Inverter Direct-Cool Single Door Refrigerator (GL-D201ABEU, Blue Euphoria, Base stand with drawer)",Reviewed in India on 17 June 2024,1.0 out of 5 stars,Very bad 😞😞 poor quality,"It is not a good product, cooling is very low, some time it fails to make ice in ice box, and some it fill the ice box with ice even if I have not placed water in ice box, also customer care service is very poor, LG has given warranty of 10 years but there is no customer support, so please don't buy lg products

Third class product"
136,"LG 185 L 5 Star Inverter Direct-Cool Single Door Refrigerator (GL-D201ABEU, Blue Euphoria, Base stand with drawer)",Reviewed in India on 25 December 2023,3.0 out of 5 stars,Not good,"Door not correctly closed,"
137,"LG 185 L 5 Star Inverter Direct-Cool Single Door Refrigerator (GL-D201ABEU, Blue Euphoria, Base stand with drawer)",Reviewed in India on 28 July 2023,3.0 out of 5 stars,Freezer door doesn't close properly,"So in order to save money instead of a magnet they put a cheap plastic lock to keep the freezer door closed. This is really pathetic because the slightest frost will ensure your 5star is thrown out the window with the fridge having to chill the entire refrigerator and not just the chiller tray.

The rest of the fridge is ok, honestly did not see that much of problems other than the freezer."
138,"LG 185 L 5 Star Inverter Direct-Cool Single Door Refrigerator (GL-D201ABEU, Blue Euphoria, Base stand with drawer)",Reviewed in India on 28 July 2024,1.0 out of 5 stars,Shird class product so bogas,Third class product
139,"LG 185 L 5 Star Inverter Direct-Cool Single Door Refrigerator (GL-D201ABEU, Blue Euphoria, Base stand with drawer)",Reviewed in India on 11 April 2024,2.0 out of 5 stars,Not properly working,This refrigerator is very good but not fast ice cooling Amazon
140,"LG 185 L 5 Star Inverter Direct-Cool Single Door Refrigerator (GL-D201ABEU, Blue Euphoria, Base stand with drawer)",Reviewed in India on 17 September 2023,3.0 out of 5 stars,Deep freezer issue,"Over good but having issues with deep freezer, every time need to clear ice froze manualy"
141,"LG 185 L 5 Star Inverter Direct-Cool Single Door Refrigerator (GL-D201ABEU, Blue Euphoria, Base stand with drawer)",Reviewed in India on 19 October 2023,3.0 out of 5 stars,Avarage quality,Not expected quality.....
142,"LG 185 L 5 Star Inverter Direct-Cool Single Door Refrigerator (GL-D201ABEU, Blue Euphoria, Base stand with drawer)",Reviewed in India on 26 October 2023,3.0 out of 5 stars,Quality,Good
143,"LG 185 L 5 Star Inverter Direct-Cool Single Door Refrigerator (GL-D201ABEU, Blue Euphoria, Base stand with drawer)",Reviewed in India on 20 October 2023,3.0 out of 5 stars,Good,Good worth
144,"LG 185 L 5 Star Inverter Direct-Cool Single Door Refrigerator (GL-D201ABEU, Blue Euphoria, Base stand with drawer)",Reviewed in India on 16 June 2023,3.0 out of 5 stars,Door's carrying handle made up of plastic,"Overall all product is good but the door cannot be able to bear more weight because its carrying handle made up of plastic, eventually will break up after sometime."
145,"LG 185 L 5 Star Inverter Direct-Cool Single Door Refrigerator (GL-D201ABEU, Blue Euphoria, Base stand with drawer)",Reviewed in India on 14 March 2023,3.0 out of 5 stars,Great Appliance!,"Works great! Before getting it, my worries are if I can connect it to an power strips/extension, would it take much load etc. Never been a problem as I connected the power extension to a 10 Amp switch. Glad I've chosen this 5-star refrigerator. I highly recommend this."
146,"LG 185 L 5 Star Inverter Direct-Cool Single Door Refrigerator (GL-D201ABEU, Blue Euphoria, Base stand with drawer)",Reviewed in India on 10 June 2024,1.0 out of 5 stars,Lots of ice accumulation in the upper tray,"I contacted customer care unit to arrange for return she requested to wait for 48 hrs, till now nobody has visited and return is not arranged, since return requests is open, please get it back."
147,"LG 185 L 5 Star Inverter Direct-Cool Single Door Refrigerator (GL-D201ABEU, Blue Euphoria, Base stand with drawer)",Reviewed in India on 1 October 2023,3.0 out of 5 stars,Ok,Nice
148,"LG 185 L 5 Star Inverter Direct-Cool Single Door Refrigerator (GL-D201ABEU, Blue Euphoria, Base stand with drawer)",Reviewed in India on 10 March 2023,3.0 out of 5 stars,Good,Lg frridge acha hai lekin muje service thik thak mili. Stand khud se fit karna pada or thoda dagmaga raha wo sab khud se thik kiya. Baki samll family k liye acha hai. 1.30 hours me baraf ho jata hai.
149,"LG 185 L 5 Star Inverter Direct-Cool Single Door Refrigerator (GL-D201ABEU, Blue Euphoria, Base stand with drawer)",Reviewed in India on 10 May 2024,1.0 out of 5 stars,New product with plastic tie - seller cheating,Got this LG fridge delivered with a plastic tag tied in cooler area. Called LG service team and they support that new product comes with such tag as metal surfaces not even. Seller is cheating by delivering such defective product. Please choose right seller. Return the product if you find like this.
150,"LG 185 L 5 Star Inverter Direct-Cool Single Door Refrigerator (GL-D201ABEU, Blue Euphoria, Base stand with drawer)",Reviewed in India on 22 May 2024,1.0 out of 5 stars,Maintain Good products and services,Deeper freez ice mountains jenarated and so mony times i called to customer care but frablam not solve........? LG is brand but product is very poor.........? Totaly i am not feel happy in this freez
151,"LG 185 L 5 Star Inverter Direct-Cool Single Door Refrigerator (GL-D201ABEU, Blue Euphoria, Base stand with drawer)",Reviewed in India on 30 June 2024,1.0 out of 5 stars,Worst service,Non working product...worst service
152,"LG 185 L 5 Star Inverter Direct-Cool Single Door Refrigerator (GL-D201ABEU, Blue Euphoria, Base stand with drawer)",Reviewed in India on 24 May 2023,3.0 out of 5 stars,Okay,Makes weird sound when checked with service person he said it is of inverter but I don't think so
153,"LG 185 L 5 Star Inverter Direct-Cool Single Door Refrigerator (GL-D201ABEU, Blue Euphoria, Base stand with drawer)",Reviewed in India on 13 May 2024,1.0 out of 5 stars,Very worst delivery team by Amazon,Guys don't purchase this refrigerator because of the item have dent in two side and door uper side are also have problem..look like as refurbished item ...no value for money.....very bad
154,"LG 185 L 5 Star Inverter Direct-Cool Single Door Refrigerator (GL-D201ABEU, Blue Euphoria, Base stand with drawer)",Reviewed in India on 16 June 2024,1.0 out of 5 stars,Worst,Building ice so much worst product
155,"LG 185 L 5 Star Inverter Direct-Cool Single Door Refrigerator (GL-D201ABEU, Blue Euphoria, Base stand with drawer)",Reviewed in India on 28 April 2023,3.0 out of 5 stars,Received imbalanced bottom tray from the company.,"My fridge needs some support on one of the four legs—a defective piece. The fridge is okay, although."
156,"LG 185 L 5 Star Inverter Direct-Cool Single Door Refrigerator (GL-D201ABEU, Blue Euphoria, Base stand with drawer)",Reviewed in India on 10 July 2023,3.0 out of 5 stars,Refrigerator drower,Refrigerator drower not a perfect
157,"LG 185 L 5 Star Inverter Direct-Cool Single Door Refrigerator (GL-D201ABEU, Blue Euphoria, Base stand with drawer)",Reviewed in India on 25 May 2024,1.0 out of 5 stars,Item is broken. One of its leg is not sitting properly so fridge is not standing,Worst item received. Even returning process is not supporting with the pics we upload. Still struggling to retuen the item
158,"LG 185 L 5 Star Inverter Direct-Cool Single Door Refrigerator (GL-D201ABEU, Blue Euphoria, Base stand with drawer)",Reviewed in India on 21 April 2024,1.0 out of 5 stars,बॅड ट्रान्सपोर्टेशन सर्विस,बहुत खराब सर्विस दिया आपने डोर डिलिव्हरी का कमेंट था फिर भी आपने डोर डिलिव्हरी नही दिया मेरे घर से 15 किलोमीटर दूर आपका डिलिव्हरी एजंट प्रॉडक्ट लेने के लिए बुला रहा था. मेरे यहा पे शादी थी इसलिये मुझे लेकर आना पडा ट्रान्सपोर्टेशन चार्जेस का 700 रुपये खर्च हुवा.
159,"LG 185 L 5 Star Inverter Direct-Cool Single Door Refrigerator (GL-D201ABEU, Blue Euphoria, Base stand with drawer)",Reviewed in India on 30 August 2021,3.0 out of 5 stars,Most trusted LG always...,"Finally after a long wait, we have LG refrigerator at home. LG is a very trusted brand from many long years. In electronics market specially for big appliances you can always trust LG. From a very long time I had been thinking to buy refrigerator at my home. I went to market examined all the refrigerators available from other brands, but everytime the name was in mind was only LG,as it has built a strong trust in the country from many years also it has very good service. So that's why I would recommend you to go for LG."
160,"LG 185 L 5 Star Inverter Direct-Cool Single Door Refrigerator (GL-D201ABEU, Blue Euphoria, Base stand with drawer)",Reviewed in India on 23 June 2024,1.0 out of 5 stars,Refrigerator body damage,
161,"LG 185 L 5 Star Inverter Direct-Cool Single Door Refrigerator (GL-D201ABEU, Blue Euphoria, Base stand with drawer)",Reviewed in India on 10 April 2024,1.0 out of 5 stars,Most West and damage,"I am unhappy for this product because it comes at my door with damaged condition and that product not replace its money refund after so many call and quarry then long day,, I have to request don't purchase this type heavy product...."
162,"LG 185 L 5 Star Inverter Direct-Cool Single Door Refrigerator (GL-D201ABEU, Blue Euphoria, Base stand with drawer)",Reviewed in India on 26 January 2024,1.0 out of 5 stars,Don’t buy this product,"After just 3 months use, we identified that door not closing properly and it because the manufacturing defect. We informed to LG customer care and arranged service engineer. He inspected and found that this because of manufacturing defect. But he said it cannot replace or service because already 3 months. Now we cannot use this new refrigerator. Waste of money . No response from LG india. Don’t buy LG products .I will throw this refrigerator in garbage area."
163,"LG 185 L 5 Star Inverter Direct-Cool Single Door Refrigerator (GL-D201ABEU, Blue Euphoria, Base stand with drawer)",Reviewed in India on 21 June 2024,1.0 out of 5 stars,Damage product,
164,"LG 185 L 5 Star Inverter Direct-Cool Single Door Refrigerator (GL-D201ABEU, Blue Euphoria, Base stand with drawer)",Reviewed in India on 6 June 2024,1.0 out of 5 stars,Cooling,"Cooling nahi he jyada .
Third class"
165,"LG 185 L 5 Star Inverter Direct-Cool Single Door Refrigerator (GL-D201ABEU, Blue Euphoria, Base stand with drawer)",Reviewed in India on 9 May 2023,3.0 out of 5 stars,Spot hh,Okk...but ye Nishan hh to accha nai lga
166,"LG 185 L 5 Star Inverter Direct-Cool Single Door Refrigerator (GL-D201ABEU, Blue Euphoria, Base stand with drawer)",Reviewed in India on 26 May 2023,3.0 out of 5 stars,Not being cool,Design is good and colour
167,"LG 185 L 5 Star Inverter Direct-Cool Single Door Refrigerator (GL-D201ABEU, Blue Euphoria, Base stand with drawer)",Reviewed in India on 22 May 2023,3.0 out of 5 stars,Dameged,I received damaged container.
168,"LG 185 L 5 Star Inverter Direct-Cool Single Door Refrigerator (GL-D201ABEU, Blue Euphoria, Base stand with drawer)",Reviewed in India on 6 August 2023,1.0 out of 5 stars,Selling defective products online,"मुझे अमेजन के द्वारा खरीदे गए किसी भी प्रोडक्ट पर बहुत भरोसा रहता था परंतु आज कुछ ऐसा हुआ है जिसे मुझे अमेज़न पर तो गुस्सा आ ही रहा है साथ ही एलजी का जो रेफ्रिजरेटर लिया है एलजी कंपनी से भी भरोसा उठ रहा है मैंने जब रेफ्रिजरेटर लिया था तो इसका जो डोर होता है जिसे बंद किया जाता है वहां पर रबड़ थोड़ा दबा हुआ था उस समय हमने ध्यान नहीं दिया एक महीने बाद हमारा ध्यान गया तो हमने सोचा कि चलो 1 साल तो गारंटी पीरियड रहता है मैं इसे बाद में चेंज करा लूंगा मैंने आज एलजी के कस्टमर केयर को फोन किया तो उसने बताया मुझे कि रबड़ की कोई गारंटी नहीं होती.

सबसे ज्यादा दिमाग तो तब खराब हुआ जबकि अमेजॉन के प्रोडक्ट आ गया चलो मैंने ध्यान नहीं दिया लेकिन अमेजॉन ने गलत प्रोडक्ट भेज कैसे दिया"
169,"LG 185 L 5 Star Inverter Direct-Cool Single Door Refrigerator (GL-D201ABEU, Blue Euphoria, Base stand with drawer)",Reviewed in India on 11 May 2024,1.0 out of 5 stars,Product features missing,"The product ordered was with base stand and drawer, but the same is missing in the unit delivered."
170,"LG 185 L 5 Star Inverter Direct-Cool Single Door Refrigerator (GL-D201ABEU, Blue Euphoria, Base stand with drawer)",Reviewed in India on 9 April 2024,1.0 out of 5 stars,Worry site in world Amazon body can not responding to coustomer,It's have very small onion box and Ice box plzz don't west your money ..and Amazon can't respond after buying product ..it tells asked to Service centre.. plzz don't buy Amazon sit
171,"LG 185 L 5 Star Inverter Direct-Cool Single Door Refrigerator (GL-D201ABEU, Blue Euphoria, Base stand with drawer)",Reviewed in India on 7 March 2023,3.0 out of 5 stars,Makes lots of sounds.,"It makes lot of sounds for a new refrigerator, No auto defrost. so called semiautomatic sucks."
172,"LG 185 L 5 Star Inverter Direct-Cool Single Door Refrigerator (GL-D201ABEU, Blue Euphoria, Base stand with drawer)",Reviewed in India on 16 April 2023,3.0 out of 5 stars,.,Bahut sound karta h
173,"LG 185 L 5 Star Inverter Direct-Cool Single Door Refrigerator (GL-D201ABEU, Blue Euphoria, Base stand with drawer)",Reviewed in India on 6 May 2024,1.0 out of 5 stars,Bad Product,I got a bad product from Amazon . I am going to complain in Consumer forum
174,"LG 185 L 5 Star Inverter Direct-Cool Single Door Refrigerator (GL-D201ABEU, Blue Euphoria, Base stand with drawer)",Reviewed in India on 26 April 2023,3.0 out of 5 stars,Good,Good product
175,"LG 185 L 5 Star Inverter Direct-Cool Single Door Refrigerator (GL-D201ABEU, Blue Euphoria, Base stand with drawer)",Reviewed in India on 23 July 2023,2.0 out of 5 stars,Okay but not so good,"While deliverying pls check fridge door rubber if closing correctly.. because my fridge closing not being done correctly
Vegetables box is not much good feature feels very lite plastic"
176,"LG 185 L 5 Star Inverter Direct-Cool Single Door Refrigerator (GL-D201ABEU, Blue Euphoria, Base stand with drawer)",Reviewed in India on 1 December 2023,2.0 out of 5 stars,Lights stopped after 3 months,"Lights stopped after 3 months.
Cooling is decent."
177,"LG 185 L 5 Star Inverter Direct-Cool Single Door Refrigerator (GL-D201ABEU, Blue Euphoria, Base stand with drawer)",Reviewed in India on 20 April 2024,1.0 out of 5 stars,Fridge wrong image showing in Amazon.,"Dear seller,
Pls remove this 360° picture from Amazon.... fridge is good but back side not plane surface.
Net used in fridge back side."
178,"LG 185 L 5 Star Inverter Direct-Cool Single Door Refrigerator (GL-D201ABEU, Blue Euphoria, Base stand with drawer)",Reviewed in India on 2 December 2023,1.0 out of 5 stars,Misleading Installation Promise - Be cautious,"i recently purchased an LG refrigerator with the promise of free installation. However, the installation team failed to show up on the scheduled day despite assurances from customer service. After multiple attempts to contact them, I was told they would come the next day, but once again, no one arrived.

Disappointed by this lack of follow-through, I resorted to manual installation. If you're considering ordering, I strongly recommend confirming the installation details beforehand to avoid the inconvenience I faced. The refrigerator itself is good, but the promised service fell short."
179,"LG 185 L 5 Star Inverter Direct-Cool Single Door Refrigerator (GL-D201ABEU, Blue Euphoria, Base stand with drawer)",Reviewed in India on 28 May 2024,1.0 out of 5 stars,Colling is not proper,Colling is not proper work
180,"LG 185 L 5 Star Inverter Direct-Cool Single Door Refrigerator (GL-D201ABEU, Blue Euphoria, Base stand with drawer)",Reviewed in India on 19 April 2024,1.0 out of 5 stars,Too much vibration and noise just after 5 days of installation.,"Play Video
Poor quality 😞. Too much noise and vibration just after 5 days of installation even after proper installation and set up."
181,"LG 185 L 5 Star Inverter Direct-Cool Single Door Refrigerator (GL-D201ABEU, Blue Euphoria, Base stand with drawer)",Reviewed in India on 3 May 2024,1.0 out of 5 stars,Dissatisfied,Product was delivered on time but no service provided in assembling the fridge and stand.
182,"LG 185 L 5 Star Inverter Direct-Cool Single Door Refrigerator (GL-D201ABEU, Blue Euphoria, Base stand with drawer)",Reviewed in India on 2 May 2024,1.0 out of 5 stars,LG single door glass shelf tray is broken please fast service,fridge don't touch glass shelf tray automatically is broken please my problem solve
183,"LG 185 L 5 Star Inverter Direct-Cool Single Door Refrigerator (GL-D201ABEU, Blue Euphoria, Base stand with drawer)",Reviewed in India on 27 October 2022,3.0 out of 5 stars,Good,"Ok color is good but lightweight , plastic parts are delicate , drawer hard to open and close"
184,"LG 185 L 5 Star Inverter Direct-Cool Single Door Refrigerator (GL-D201ABEU, Blue Euphoria, Base stand with drawer)",Reviewed in India on 15 November 2022,3.0 out of 5 stars,"Itam quality was not good,we facing some Power shocking situation",Storage not that much well and value for money 3/5 because there is no useful changes in new 2022 model
185,"LG 185 L 5 Star Inverter Direct-Cool Single Door Refrigerator (GL-D201ABEU, Blue Euphoria, Base stand with drawer)",Reviewed in India on 26 May 2024,1.0 out of 5 stars,Not cooling,Defective product
186,"LG 185 L 5 Star Inverter Direct-Cool Single Door Refrigerator (GL-D201ABEU, Blue Euphoria, Base stand with drawer)",Reviewed in India on 29 September 2022,1.0 out of 5 stars,Stay Away.. 3 months usage ..worst customer support,"If you guys ever wonder why LG is withdrawn from the smartphone market this is the reason.

This company doesn't care about customer. I bought this fridge about 3 months back now I have it tray which the plastic frame has broken.

If the glass part was broken I would have accepted that okay it is my problem however in this case they must have used substanted quality raw materials materials.

The service support guy called and challenged saying that no fibre parts are covered under warranty it is written under the terms and conditions it seems. It felt like he was trained by the LG to say this because LG knows that they have used substandard product

He even had the audacity to challenge me to write in Amazon or Flipkart or in evening Twitter accounts he knows that the company has told him to do this.

Because we are in India where these companies can do whatever they want if they are write anything in terms and conditions

Please stay away."
187,"LG 185 L 5 Star Inverter Direct-Cool Single Door Refrigerator (GL-D201ABEU, Blue Euphoria, Base stand with drawer)",Reviewed in India on 23 May 2024,1.0 out of 5 stars,Ok good,Ok gud
188,"LG 185 L 5 Star Inverter Direct-Cool Single Door Refrigerator (GL-D201ABEU, Blue Euphoria, Base stand with drawer)",Reviewed in India on 13 April 2024,1.0 out of 5 stars,Got damaged product,Standbor front leg was bend inside and chiller tray was broken. So returned.
189,"LG 185 L 5 Star Inverter Direct-Cool Single Door Refrigerator (GL-D201ABEU, Blue Euphoria, Base stand with drawer)",Reviewed in India on 9 August 2023,2.0 out of 5 stars,Refrigerator is good but right leg is damaged of it,Box was damage and right leg of refrigerator is bent resulting the base stand is not getting fitted with refrigerator.
190,"LG 185 L 5 Star Inverter Direct-Cool Single Door Refrigerator (GL-D201ABEU, Blue Euphoria, Base stand with drawer)",Reviewed in India on 23 May 2024,1.0 out of 5 stars,"Not satisfied 😭 very small size, service not good",
191,"LG 185 L 5 Star Inverter Direct-Cool Single Door Refrigerator (GL-D201ABEU, Blue Euphoria, Base stand with drawer)",Reviewed in India on 7 May 2024,1.0 out of 5 stars,Back Down Side little bit Band the Angal,I'm Unhappy The delivery product
192,"LG 185 L 5 Star Inverter Direct-Cool Single Door Refrigerator (GL-D201ABEU, Blue Euphoria, Base stand with drawer)",Reviewed in India on 1 May 2024,1.0 out of 5 stars,Good,Product is good delivery is not .
193,"LG 185 L 5 Star Inverter Direct-Cool Single Door Refrigerator (GL-D201ABEU, Blue Euphoria, Base stand with drawer)",Reviewed in India on 5 May 2024,1.0 out of 5 stars,Worst experience,Cooling is not good
194,"LG 185 L 5 Star Inverter Direct-Cool Single Door Refrigerator (GL-D201ABEU, Blue Euphoria, Base stand with drawer)",Reviewed in India on 7 May 2024,1.0 out of 5 stars,Ok,Light not working
195,"LG 185 L 5 Star Inverter Direct-Cool Single Door Refrigerator (GL-D201ABEU, Blue Euphoria, Base stand with drawer)",Reviewed in India on 29 April 2024,1.0 out of 5 stars,Freezer on noise come,"Play Video
Don't buy this product.Once freezer on noise is automatically comes."
196,"LG 185 L 5 Star Inverter Direct-Cool Single Door Refrigerator (GL-D201ABEU, Blue Euphoria, Base stand with drawer)",Reviewed in India on 1 September 2022,3.0 out of 5 stars,Ok ok,Not that great storage box at bottom is very delicate and do not close easily broken in a week
197,"LG 185 L 5 Star Inverter Direct-Cool Single Door Refrigerator (GL-D201ABEU, Blue Euphoria, Base stand with drawer)",Reviewed in India on 27 August 2023,2.0 out of 5 stars,Some rust in copper tube,"It's brand new but Rust in copper tube , just now switched on the fridge will check the functionality"
198,"LG 185 L 5 Star Inverter Direct-Cool Single Door Refrigerator (GL-D201ABEU, Blue Euphoria, Base stand with drawer)",Reviewed in India on 5 March 2023,3.0 out of 5 stars,Nice ☺️,Good now my products
199,"LG 185 L 5 Star Inverter Direct-Cool Single Door Refrigerator (GL-D201ABEU, Blue Euphoria, Base stand with drawer)",Reviewed in India on 27 April 2024,1.0 out of 5 stars,Damaged refrigerator received from back side,Damaged from back side
200,"LG 43 L 1 Star Direct Cool Minibar Single Door Refrigerator (2024 Model, GL-M051RSWB, Super White)",Reviewed in India on 16 April 2024,1.0 out of 5 stars,Inferior LG product,The product is of very inferior quality. There is unusual noise and in less than 7 months it has stopped making ice. The worst part. LG is not able to provide service for this since December 2023. One of the persons says that it is a refurbished product sold by the seller. What to believe and what not but there needs to be cautious about buying LG products that to from seller where from I bought.
201,"LG 43 L 1 Star Direct Cool Minibar Single Door Refrigerator (2024 Model, GL-M051RSWB, Super White)",Reviewed in India on 21 December 2023,3.0 out of 5 stars,Less cooling power,Even at high speed cooling is not effective
202,"LG 43 L 1 Star Direct Cool Minibar Single Door Refrigerator (2024 Model, GL-M051RSWB, Super White)",Reviewed in India on 10 August 2024,2.0 out of 5 stars,mlakalpi@gmail.com,कंपनी झूठ बोलकर स्टेनलेस स्टील का दरवाजा बताती है जबकि इसका दरवाजा स्टेनलेस स्टील का नहीं है ग्राहकों के साथ इस तरह की धोखाधड़ी कंपनी कर रही है
203,"LG 43 L 1 Star Direct Cool Minibar Single Door Refrigerator (2024 Model, GL-M051RSWB, Super White)",Reviewed in India on 24 July 2024,2.0 out of 5 stars,Not so good cooling,Cooling is poor.
204,"LG 43 L 1 Star Direct Cool Minibar Single Door Refrigerator (2024 Model, GL-M051RSWB, Super White)",Reviewed in India on 11 July 2024,1.0 out of 5 stars,No Warranty Support from LG,"This fridge was purchased on 11th May 2024 and stopped working on 30th May 2024. Lodged a service call with LG support on 3rd June 2024. Engineer visited on 4th June 2024 and identified the Compressor is faulty and need to be replaced. Even after more than one month there is no response from LG service centre even after regular call to support and whichever number they provide.

Seller, please take a note and assist with the repair. If not, then please arrange to either replace the product or return the same."
205,"LG 43 L 1 Star Direct Cool Minibar Single Door Refrigerator (2024 Model, GL-M051RSWB, Super White)",Reviewed in India on 8 August 2024,1.0 out of 5 stars,Very worst product,"One of the worst product by LG total design and R&D failure. Don't buy.
Waste of money.
I'm not going to buy any products from LG any more!.."
206,"LG 43 L 1 Star Direct Cool Minibar Single Door Refrigerator (2024 Model, GL-M051RSWB, Super White)",Reviewed in India on 22 April 2024,2.0 out of 5 stars,Received damaged but overall good,
207,"LG 43 L 1 Star Direct Cool Minibar Single Door Refrigerator (2024 Model, GL-M051RSWB, Super White)",Reviewed in India on 23 June 2024,1.0 out of 5 stars,Defaced and not working properly,"Not working properly and I want to return this product BUT RETURN FAILED BY YOUR SIDE AND BLEM TO ME
I don't give any OTP and I didn't say no to anyone
No-one come to my house"
208,"LG 43 L 1 Star Direct Cool Minibar Single Door Refrigerator (2024 Model, GL-M051RSWB, Super White)",Reviewed in India on 6 July 2024,1.0 out of 5 stars,Not satisfied,"Received damage and compressor 2 nut bolt missing.
Sent damage product again"
209,"LG 43 L 1 Star Direct Cool Minibar Single Door Refrigerator (2024 Model, GL-M051RSWB, Super White)",Reviewed in India on 24 June 2023,3.0 out of 5 stars,Nice,"Product is working good so far, i will update review after some time, at this time
i like it. Usefull product, at delivery time packaging was good easy delivery."
210,"LG 43 L 1 Star Direct Cool Minibar Single Door Refrigerator (2024 Model, GL-M051RSWB, Super White)",Reviewed in India on 21 June 2024,1.0 out of 5 stars,Worst product,It's damaged a lot of scratches are there also it's not working not cooling anything
211,"LG 43 L 1 Star Direct Cool Minibar Single Door Refrigerator (2024 Model, GL-M051RSWB, Super White)",Reviewed in India on 12 September 2023,2.0 out of 5 stars,West of money. Public ko bewkoof banaya gaya hai. Ye product bana kar aur bhech kar,"Isme jagah to hai hi kuchh rakhne. Esaa lagta hai jese bachho ke chhote chhote khilone hote hai, chhoti chhoti cheeze rakhne ki jagah . Public ko bewkoof banaya gaya hai. Ye review mene diya hai 3-4 mahine baad."
212,"LG 43 L 1 Star Direct Cool Minibar Single Door Refrigerator (2024 Model, GL-M051RSWB, Super White)",Reviewed in India on 30 August 2023,2.0 out of 5 stars,Too much heating outside body,"Within 7 days of purchase heating problem arrised and ice not make firstly .Now after two months condition we face same problem, we dont touch outside body due to heating."
213,"LG 43 L 1 Star Direct Cool Minibar Single Door Refrigerator (2024 Model, GL-M051RSWB, Super White)",Reviewed in India on 27 April 2023,3.0 out of 5 stars,Small in size,Play Video
