,Unnamed: 0,text,star,original,cluster,action_cluster
3804,3804,"['still', 'wait', 'installation', 'lg', 'installation', 'service', 'bad', 'product', 'may', 'good', 'service', 'bad', 'thanks', 'lg', 'service', 'give', 'nice', 'bad', 'experience', 'next', 'time', 'twice', 'tink', 'buy', 'product', 'mistake', 'go']",1,Still im waiting for installation. LG installation services is very bad. Product may be good but service is bad.. Thanks to lg service for a giving a such nice bad experience. Next time twice to tink before buy your products. My mistake to go with you.,2,3
3813,3813,"['buy', 'flipcart', 'bad', 'experience']",1,Don't buy from flipcart very bad experience,2,1
3814,3814,"['bad', 'product', 'product', 'service', 'week']",1,Very bad product this product service is very week,2,1
3818,3818,"['bad', 'performance']",1,Bad performance 😕🤮,2,2
3822,3822,"['bad', 'product']",1,bad product,2,1
3835,3835,"['body', 'bad', 'quality']",1,Body is very bad quality,2,1
3836,3836,"['bad', 'product', 'since', 'purchase', 'never', 'work', 'good']",1,very bad product. since i purchase never work good.,2,1
3838,3838,['bad'],1,Very bad,2,2
3846,3846,['bad'],1,Worst,2,2
3874,3874,['bad'],1,Bad,2,2
3875,3875,"['bad', 'product', 'ever', 'wash', 'clothes']",1,Worst product ever does not wash clothes,2,4
3877,3877,['bad'],1,Very worst,2,2
3878,3878,"['bad', 'product', 'please', 'purchase', 'anyone']",1,Very bad product please not purchase anyone,2,1
3885,3885,"['bad', 'quality']",1,very bad quality,2,1
3886,3886,"['product', 'good', 'delivery', 'experience', 'bad']",1,Product is good but delivery experience is very bad.,2,1
3903,3903,"['bad', 'product']",1,Very bad product,2,1
3906,3906,"['wash', 'machine', 'good', 'get', 'instal', 'yet', 'bad', 'experience', 'service']",1,Washing machine is good but it didn't get installed yet... Very bad experience with the services,2,3
3911,3911,"['bad', 'buy', 'product', 'fully', 'disappointed']",1,Worst don't buy this product fully disappointed,2,2
3915,3915,"['still', 'wait', 'installation', 'lg', 'installation', 'service', 'bad', 'product', 'may', 'good', 'service', 'bad', 'thanks', 'lg', 'service', 'give', 'nice', 'bad', 'experience', 'next', 'time', 'twice', 'tink', 'buy', 'product', 'mistake', 'go']",1,Still im waiting for installation. LG installation services is very bad. Product may be good but service is bad.. Thanks to lg service for a giving a such nice bad experience. Next time twice to tink before buy your products. My mistake to go with you.,2,3
3924,3924,"['buy', 'flipcart', 'bad', 'experience']",1,Don't buy from flipcart very bad experience,2,1
3925,3925,"['bad', 'product', 'product', 'service', 'week']",1,Very bad product this product service is very week,2,1
3927,3927,"['bad', 'pro']",1,Bad pro,2,2
3933,3933,['bad'],1,Very bad,2,2
3942,3942,"['lg', 'bad']",1,Lg bad,2,2
3945,3945,"['bad', 'product']",1,Bad product,2,1
3949,3949,"['bad', 'product', 'flipkart', 'accept', 'return', 'bad', 'service']",1,Bad product and flipkart not accepting return bad service,2,1
3959,3959,"['bad', 'product', 'speed', 'wash', 'bad', 'bad', 'product']",1,Very bad product no speed washing. Very bad bad product,2,4
3961,3961,['bad'],1,Worst,2,2
3964,3964,"['power', 'totally', 'bad', 'experience']",1,"Dont have power.
Totally very bad experience",2,2
3974,3974,['bad'],1,bad,2,2
3978,3978,"['buy', 'bad']",1,"Don't buy it, it's too worst",2,2
3982,3982,"['bad', 'material']",1,Bad material,2,2
3988,3988,"['bad', 'experience', 'wash', 'part', 'work', 'within', 'one', 'use', 'return', 'product']",2,A very bad experience .Washing part is not working within one use. Can't return the product 😡,2,4
3989,3989,"['bad', 'product']",2,Bad product,2,1
4029,4029,"['bad', 'performance']",1,Bad performance 😕🤮,2,2
4033,4033,"['bad', 'product']",1,bad product,2,1
4046,4046,"['body', 'bad', 'quality']",1,Body is very bad quality,2,1
4047,4047,"['bad', 'product', 'since', 'purchase', 'never', 'work', 'good']",1,very bad product. since i purchase never work good.,2,1
4049,4049,['bad'],1,Very bad,2,2
4057,4057,['bad'],1,Worst,2,2
4085,4085,['bad'],1,Bad,2,2
4086,4086,"['bad', 'product', 'ever', 'wash', 'clothes']",1,Worst product ever does not wash clothes,2,4
4088,4088,['bad'],1,Very worst,2,2
4089,4089,"['bad', 'product', 'please', 'purchase', 'anyone']",1,Very bad product please not purchase anyone,2,1
4096,4096,"['bad', 'quality']",1,very bad quality,2,1
4097,4097,"['product', 'good', 'delivery', 'experience', 'bad']",1,Product is good but delivery experience is very bad.,2,1
4114,4114,"['bad', 'product']",1,Very bad product,2,1
4117,4117,"['wash', 'machine', 'good', 'get', 'instal', 'yet', 'bad', 'experience', 'service']",1,Washing machine is good but it didn't get installed yet... Very bad experience with the services,2,3
4122,4122,"['bad', 'buy', 'product', 'fully', 'disappointed']",1,Worst don't buy this product fully disappointed,2,2
4126,4126,"['still', 'wait', 'installation', 'lg', 'installation', 'service', 'bad', 'product', 'may', 'good', 'service', 'bad', 'thanks', 'lg', 'service', 'give', 'nice', 'bad', 'experience', 'next', 'time', 'twice', 'tink', 'buy', 'product', 'mistake', 'go']",1,Still im waiting for installation. LG installation services is very bad. Product may be good but service is bad.. Thanks to lg service for a giving a such nice bad experience. Next time twice to tink before buy your products. My mistake to go with you.,2,3
4135,4135,"['buy', 'flipcart', 'bad', 'experience']",1,Don't buy from flipcart very bad experience,2,1
4136,4136,"['bad', 'product', 'product', 'service', 'week']",1,Very bad product this product service is very week,2,1
4145,4145,['bad'],1,Bad,2,2
4175,4175,"['bad', 'maintenance']",1,Very bad maintenance,2,2
4176,4176,"['bad', 'quality']",1,Bad quality,2,1
4177,4177,['bad'],1,Very bad,2,2
4179,4179,"['bad', 'wash', 'neatly', 'bad', 'product']",1,"Worst, does not wash neatly very Worst product",2,2
4183,4183,['bad'],1,Very bad...,2,2
4184,4184,"['bad', 'experience']",1,Very bad experience..,2,1
4191,4191,['bad'],1,Not bad,2,2
4217,4217,"['product', 'good', 'flipkart', 'service', 'bad']",2,"Product is good but
Flipkart service is bad",2,1
4246,4246,['bad'],1,Bad,2,2
4276,4276,"['bad', 'maintenance']",1,Very bad maintenance,2,2
4277,4277,"['bad', 'quality']",1,Bad quality,2,1
4278,4278,['bad'],1,Very bad,2,2
4280,4280,"['bad', 'wash', 'neatly', 'bad', 'product']",1,"Worst, does not wash neatly very Worst product",2,2
4284,4284,['bad'],1,Very bad...,2,2
4285,4285,"['bad', 'experience']",1,Very bad experience..,2,1
4292,4292,['bad'],1,Not bad,2,2
4318,4318,"['product', 'good', 'flipkart', 'service', 'bad']",2,"Product is good but
Flipkart service is bad",2,1
4345,4345,"['bad', 'product', 'noisy']",1,Worst product... Very noisy,2,2
4447,4447,['bad'],1,Worst,2,2
4647,4647,['bad'],1,Bad,2,2
4677,4677,"['bad', 'maintenance']",1,Very bad maintenance,2,2
4678,4678,"['bad', 'quality']",1,Bad quality,2,1
4679,4679,['bad'],1,Very bad,2,2
4681,4681,"['bad', 'wash', 'neatly', 'bad', 'product']",1,"Worst, does not wash neatly very Worst product",2,2
4685,4685,['bad'],1,Very bad...,2,2
4686,4686,"['bad', 'experience']",1,Very bad experience..,2,1
4693,4693,['bad'],1,Not bad,2,2
4719,4719,"['product', 'good', 'flipkart', 'service', 'bad']",2,"Product is good but
Flipkart service is bad",2,1
4740,4740,"['bad', 'build', 'quality']",1,"Very bad, build quality 👎👎👎",2,1
4742,4742,"['bad', 'product']",1,Bad product,2,1
4755,4755,['bad'],3,Not bad,2,2
4802,4802,['bad'],4,Not bad,2,2
4843,4843,"['bad', 'performance']",1,Bad performance 😕🤮,2,2
4847,4847,"['bad', 'product']",1,bad product,2,1
4860,4860,"['body', 'bad', 'quality']",1,Body is very bad quality,2,1
4861,4861,"['bad', 'product', 'since', 'purchase', 'never', 'work', 'good']",1,very bad product. since i purchase never work good.,2,1
4863,4863,['bad'],1,Very bad,2,2
4871,4871,['bad'],1,Worst,2,2
4899,4899,['bad'],1,Bad,2,2
4900,4900,"['bad', 'product', 'ever', 'wash', 'clothes']",1,Worst product ever does not wash clothes,2,4
4902,4902,['bad'],1,Very worst,2,2
4903,4903,"['bad', 'product', 'please', 'purchase', 'anyone']",1,Very bad product please not purchase anyone,2,1
4910,4910,"['bad', 'quality']",1,very bad quality,2,1
4911,4911,"['product', 'good', 'delivery', 'experience', 'bad']",1,Product is good but delivery experience is very bad.,2,1
4928,4928,"['bad', 'product']",1,Very bad product,2,1
4931,4931,"['wash', 'machine', 'good', 'get', 'instal', 'yet', 'bad', 'experience', 'service']",1,Washing machine is good but it didn't get installed yet... Very bad experience with the services,2,3
4936,4936,"['bad', 'buy', 'product', 'fully', 'disappointed']",1,Worst don't buy this product fully disappointed,2,2
4940,4940,"['still', 'wait', 'installation', 'lg', 'installation', 'service', 'bad', 'product', 'may', 'good', 'service', 'bad', 'thanks', 'lg', 'service', 'give', 'nice', 'bad', 'experience', 'next', 'time', 'twice', 'tink', 'buy', 'product', 'mistake', 'go']",1,Still im waiting for installation. LG installation services is very bad. Product may be good but service is bad.. Thanks to lg service for a giving a such nice bad experience. Next time twice to tink before buy your products. My mistake to go with you.,2,3
4949,4949,"['buy', 'flipcart', 'bad', 'experience']",1,Don't buy from flipcart very bad experience,2,1
4950,4950,"['bad', 'product', 'product', 'service', 'week']",1,Very bad product this product service is very week,2,1
4959,4959,['bad'],1,Bad,2,2
4989,4989,"['bad', 'maintenance']",1,Very bad maintenance,2,2
4990,4990,"['bad', 'quality']",1,Bad quality,2,1
4991,4991,['bad'],1,Very bad,2,2
4993,4993,"['bad', 'wash', 'neatly', 'bad', 'product']",1,"Worst, does not wash neatly very Worst product",2,2
4997,4997,['bad'],1,Very bad...,2,2
4998,4998,"['bad', 'experience']",1,Very bad experience..,2,1
5005,5005,['bad'],1,Not bad,2,2
5031,5031,"['product', 'good', 'flipkart', 'service', 'bad']",2,"Product is good but
Flipkart service is bad",2,1
5523,5523,"['bad', 'product', 'bad', 'service']",1,Worst product worst service,2,1
5531,5531,"['cool', 'ac', 'bad']",1,Cooling of this ac is worst,2,3
5571,5571,"['bad', 'experience', 'lg']",1,Very bad experience with LG,2,1
5597,5597,['bad'],1,Worst,2,2
5693,5693,"['well', 'bad']",3,It's better not bad,2,2
5918,5918,"['bad', 'product', 'lg', 'never', 'buy', 'bad', 'customer', 'service', 'particularly', 'gurgaon', 'bad', 'team', 'technician', 'manager', 'know', 'talk', 'customer', 'worst', 'experience']",1,"Worst product from LG never buy, worst customer service particularly in Gurgaon the worst team they have from technicians to Manager, they don’t know how to talk to customers. Worst experience",2,4
5950,5950,"['bad', 'product']",1,Bad product,2,1
6243,6243,"['bad', 'product', 'stop', 'work', 'one', 'year']",1,Worst product it stops working after one year.,2,4
6256,6256,['bad'],3,Not bad,2,2
6292,6292,"['bad', 'experience', 'product', 'waste', 'money']",1,Very worst experience for the product waste of money,2,1
6306,6306,"['bad', 'product']",1,Very bad products 👎👎👎👎👎👎👎👎👎👎👎👎👎👎👎👎👎👎👎👎👎👎👎👎👎👎👎👎👎👎👎,2,1
6320,6320,['bad'],1,Very Bad,2,2
6378,6378,"['quality', 'bad', 'send', 'damage', 'dented', 'product', 'previous', 'review', 'also', 'remove', 'write', 'bad', 'product', 'give']",1,Quality was bad sent me a damaged and dented product. My previous review was also removed because i wrote about how bad their product given was,2,4
6426,6426,"['bad', 'product', 'stop', 'work', 'within', 'month', 'purchase']",1,Worst product.... stopped working within 8 months of purchase,2,4
6436,6436,"['month', 'buy', 'fridge', 'shut', 'day', 'say', 'part', 'available', 'please', 'buy', 'lg', 'product', 'go', 'samsung', 'lg', 'brand', 'bad', 'bad', 'bad']",1,"After 2 months of buy
Fridge shut down
And after 10 days they said part is not available now
Please don’t buy any LG product

Go for samsung
LG Brand
Is
Bad
Worse
Worst",2,1
6446,6446,"['bad', 'product', 'poor', 'service', 'amazon', 'one', 'come', 'installation']",1,"Bad product, poor service by Amazon, no one comes for installation.",2,2
6447,6447,['bad'],1,Bad,2,2
6483,6483,['bad'],3,Very Bad,2,2
6540,6540,"['bad', 'experience', 'broken', 'tv', 'come']",2,Very bad experience to me broken TV come,2,4
6572,6572,['bad'],2,To bad,2,2
6649,6649,"['call', 'product', 'installation', 'bad', 'company', 'ever', 'one', 'answer', 'customer', 'care', 'lg', 'worst', 'service', 'bad', 'producta']",1,"No calls for product installation, worst company ever, no one answers from customer care, LG worst service and worst producta",2,2
6652,6652,"['sound', 'quality', 'bad']",1,Sound quality very bad,2,1
6683,6683,['bad'],3,Very Bad,2,2
6740,6740,"['bad', 'experience', 'broken', 'tv', 'come']",2,Very bad experience to me broken TV come,2,4
6772,6772,['bad'],2,To bad,2,2
6783,6783,['bad'],3,Very Bad,2,2
6840,6840,"['bad', 'experience', 'broken', 'tv', 'come']",2,Very bad experience to me broken TV come,2,4
6872,6872,['bad'],2,To bad,2,2
6949,6949,"['call', 'product', 'installation', 'bad', 'company', 'ever', 'one', 'answer', 'customer', 'care', 'lg', 'worst', 'service', 'bad', 'producta']",1,"No calls for product installation, worst company ever, no one answers from customer care, LG worst service and worst producta",2,2
6952,6952,"['sound', 'quality', 'bad']",1,Sound quality very bad,2,1
7049,7049,"['call', 'product', 'installation', 'bad', 'company', 'ever', 'one', 'answer', 'customer', 'care', 'lg', 'worst', 'service', 'bad', 'producta']",1,"No calls for product installation, worst company ever, no one answers from customer care, LG worst service and worst producta",2,2
7052,7052,"['sound', 'quality', 'bad']",1,Sound quality very bad,2,1
7149,7149,"['call', 'product', 'installation', 'bad', 'company', 'ever', 'one', 'answer', 'customer', 'care', 'lg', 'worst', 'service', 'bad', 'producta']",1,"No calls for product installation, worst company ever, no one answers from customer care, LG worst service and worst producta",2,2
7152,7152,"['sound', 'quality', 'bad']",1,Sound quality very bad,2,1
7249,7249,"['call', 'product', 'installation', 'bad', 'company', 'ever', 'one', 'answer', 'customer', 'care', 'lg', 'worst', 'service', 'bad', 'producta']",1,"No calls for product installation, worst company ever, no one answers from customer care, LG worst service and worst producta",2,2
7252,7252,"['sound', 'quality', 'bad']",1,Sound quality very bad,2,1
7349,7349,"['call', 'product', 'installation', 'bad', 'company', 'ever', 'one', 'answer', 'customer', 'care', 'lg', 'worst', 'service', 'bad', 'producta']",1,"No calls for product installation, worst company ever, no one answers from customer care, LG worst service and worst producta",2,2
7352,7352,"['sound', 'quality', 'bad']",1,Sound quality very bad,2,1
7511,7511,"['lg', 'product', 'service', 'bad']",1,Lg product and after service is very bad,2,1
7726,7726,"['bad', 'product']",1,Worst product,2,1
7729,7729,['bad'],3,Not bad,2,2
7811,7811,"['lg', 'product', 'service', 'bad']",1,Lg product and after service is very bad,2,1
7935,7935,"['overall', 'product', 'bad']",3,Overall the product is bad,2,4
8018,8018,['bad'],1,Very bad,2,2
8115,8115,"['bad', 'product', 'give', 'problem', 'day']",1,Very bad product . giving problems from day 1,2,4
